state,August_avg_tempf
 Alabama,96.2
 Alaska,66.1
 Arizona,109.4
 Arkansas,95.2
 California,94.9
 Colorado,90.6
 Connecticut,83.7
 Delaware,86
 Florida,95.5
 Georgia,92
 Hawaii,88.5
 Idaho,91.5
 Illinois,84.2
 Indiana,85.1
 Iowa,84.4
 Kansas,89.2
 Kentucky,87.9
 Louisiana,96.8
 Maine,78.5
 Maryland,83.1
 Massachusetts,79.4
 Michigan,80.3
 Minnesota,80.2
 Mississippi,95.5
 Missouri,86.6
 Montana,85.6
 Nebraska,87.5
 Nevada,90.8
 New Hampshire,79.3
 New Jersey,83.3
 New Mexico,90.2
 New York,81
 North Carolina,89.6
 North Dakota,80.4
 Ohio,87.5
 Oklahoma,93.9
 Oregon,85.2
 Pennsylvania,83.6
 Rhode Island,80.2
 South Carolina,89.7
 South Dakota,85.3
 Tennessee,92.5
 Texas,98.3
 Utah,93
 Vermont,75.3
 Virginia,88
 Washington,77.8
 West Virginia,90.3
 Wisconsin,81
 Wyoming,83.3
